word,freq
세월호,2635
구조,1360
침몰,1074
정부,912
진도,839
가족,828
학생,808
대통령,743
안전,713
상황,669
오전,653
실종자,647
선장,628
이날,583
사람,567
선박,557
참사,552
국민,550
확인,545
승객,528
사고,523
관련,502
우리,502
시간,491
현장,488
재난,465
책임,464
때문,458
여객선,453
단원,443
오후,418
해양,409
당시,406
수색,394
문제,386
경기,381
사회,364
선체,348
경찰,344
관계자,342
희생자,340
발생,325
수습,315
대응,312
승무원,311
작업,309
자신,307
생각,305
조사,304
사건,297
수사,296
대책,290
이후,286
아이들,280
제주,277
탈출,274
회장,269
학교,269
관리,268
시민,268
상태,266
시작,262
후보,254
지적,252
투입,250
사과,249
필요,248
주검,247
관제센터,245
사실,244
