word,freq
세월,2635
구조,1360
침몰,1074
들이,1065
정부,912
진도,839
가족,828
학생,808
대통령,743
안전,713
상황,669
오전,653
실종자,647
선장,628
이날,583
사람,567
선박,557
참사,552
국민,550
확인,545
승객,528
사고,523
관련,502
우리,502
하기,492
시간,491
현장,488
재난,465
책임,464
때문,458
여객선,453
하게,444
단원,443
오후,418
해양,409
당시,406
이번,397
수색,394
문제,386
경기,381
사회,364
선체,348
경찰,344
관계자,342
희생자,340
발생,325
수습,315
대응,312
승무원,311
작업,309
자신,307
생각,305
조사,304
사건,297
수사,296
대책,290
이후,286
아이들,280
제주,277
탈출,274
회장,269
학교,269
관리,268
시민,268
상태,266
시작,262
후보,254
지적,252
투입,250
사과,249
필요,248
주검,247
관제센터,245
사실,244
의원,244
가운데,243
설치,243
국가,241
과정,240
마음,233
보도,233
언론,233
여행,228
선원,227
모습,224
박근혜,223
잠수,222
교사,221
내용,220
수사본부,220
이상,219
유족,218
친구,217
정도,215
경우,215
해역,213
일부,211
민간,210
예정,209
청와대,207
구명,204
지시,204
침몰사고,203
진행,202
검찰,202
대표,201
호가,199
결과,198
총리,198
원인,197
여명,195
비판,195
안산,195
생존자,190
이유,190
사망자,187
합동,187
방송,184
해상,183
가능성,181
분향,180
전화,179
하나,179
설명,177
화물,175
발표,173
지원,173
파악,172
본부,171
매뉴얼,171
동안,170
신고,170
학년,170
호의,168
아이,167
청해진해운,167
분노,166
수학,165
운항,165
마련,163
인양,163
진입,163
도착,162
결정,159
점검,158
체육관,157
요원,157
소식,155
대통령의,153
발견,152
대형,151
실종,149
학부모,149
위험,148
뉴스,148
사망,147
자리,147
지역,147
혐의,147
대상,146
바다,144
차례,144
추모,144
연합,143
헬기,143
생명,142
사이,141
합동분향소,141
수산,139
눈물,138
지난해,137
정신,137
교육,136
이름,136
포함,134
조끼,134
참여,134
새누리당,134
교수,134
요청,134
대처,133
판단,133
어른,133
대한,132
활동,132
아들,132
유가족,132
정보,131
누구,131
사진,130
시스템,129
객실,129
공개,128
공무원,128
회사,127
선사,127
전국,127
구조작업,126
요구,126
검사,126
교신,126
취소,125
피해자,124
회의,124
주변,123
항해사,123
전날,123
가슴,122
장관,122
의혹,122
잠수부,120
업체,120
시신,120
부모,118
위기,118
내부,118
해수,118
장비,117
전문가,117
시도,117
부처,117
사람들,116
추가,116
업무,115
직원,115
훈련,115
주장,115
진술,115
나라,115
자살,115
영상,114
희망,113
지휘,113
해운,113
마지막,112
한국,112
사용,112
고통,112
브리핑,111
중앙,111
않았다,111
소속,111
서울,111
다이빙,111
전체,110
준비,110
심리,110
여부,109
가능,108
이야기,108
누리,107
단체,107
행동,107
규정,107
해서,106
행정부,106
집중,106
새벽,105
운영,105
확보,105
기록,103
조타실,103
소리,102
사태,102
직후,101
대부분,101
선내,101
제기,101
경비,101
대변인,101
기관,101
계획,100
중요,100
외상,100
순간,99
민국,99
방향,99
연기,99
적용,99
미국,99
부분,98
일정,98
잘못,98
조류,98
목숨,98
위로,98
자체,97
인명,96
분석,96
충격,95
중심,95
저녁,95
이용,95
항로,95
해당,95
세상,95
무엇,95
치료,94
하루,94
비롯,93
전달,93
생존,93
리본,93
관계,92
인근,92
희생,92
타워,92
세모,92
추정,91
그것,91
신원,91
명령,91
무능,91
국회,90
고려,89
개조,89
분위기,89
하자,89
인터뷰,89
방법,88
경선,88
체계,88
만원,88
컨트롤,88
병원,87
센터,87
새정치,87
평소,87
강화,87
구조대,86
선실,86
논란,86
우려,86
채널,86
연락,85
조치,85
기준,85
얘기,85
국무총리,85
역할,84
생사,84
정상,84
비극,84
어선,83
엄마,83
사퇴,83
출동,83
자료,83
행사,83
경제,83
상처,83
승선,82
상대,82
긴급,82
아버지,82
안산시,82
규제,82
자기,81
예비,81
애도,81
페이스,81
만큼,80
대비,80
기자,80
안행,80
기업,80
비용,80
아침,79
발언,79
강조,79
방침,79
임시,79
교감,79
지점,78
사랑,78
도움,78
정치,78
수중,77
조처,77
구속,77
가지,76
방안,76
방식,76
특별,76
조문,76
불안,75
일반,75
중단,75
출항,75
차량,75
무개,75
어머니,75
위치,74
인원,74
의사,74
검토,74
감독,74
규모,73
공식,72
기자회견,72
속도,72
처벌,72
변침,72
일가,72
기억,71
통화,71
노력,71
당일,71
무사,71
뱃머리,70
주요,70
무리,70
바람,70
공기,70
예상,70
스트레스,70
동영상,70
핵심,70
치유,70
출신,69
현실,69
이해,69
압수수색,69
무책임,69
적극,68
기술,68
추진,68
제공,68
천안함,68
정원,68
작동,68
메시지,68
세계,68
선생님,68
오늘,68
그룹,68
한겨레,68
방문,67
중이,67
전문,67
종합,67
부산,67
모두,67
전원,66
처음,66
출발,66
혼선,66
민주,66
해상교통,66
죽음,66
불신,66
명단,65
접수,65
관심,65
단계,65
정확,65
비난,65
구호,65
질문,64
상당,64
여기,64
최대,64
반복,64
얼굴,64
영향,64
비슷,64
목소리,64
장면,64
책임자,64
인간,64
상황실,63
조직,63
제한,63
운항관리,63
감정,63
특수,62
크레인,62
증축,62
문자,62
촛불,62
행위,62
처리,62
