word,freq
세월호,3111
침몰,1770
구조,1084
진도,901
들이,625
가족,611
학생,582
오전,559
여객선,548
대통령,528
실종자,525
선장,476
승객,475
참사,461
안전,456
사고,443
이날,434
선박,429
기부,403
정부,401
상황,394
확인,380
단원,379
사람,361
국민,345
자신,342
현장,335
당시,334
관련,323
오후,320
시간,319
회장,311
때문,309
작업,298
하게,297
이번,288
소식,279
희생자,274
캠페인,272
하기,266
우리,266
관계자,263
대표,261
방송,255
경찰,254
탈출,252
반응,245
검찰,242
상태,237
마음,236
발생,234
애도,234
수사,231
사실,229
선원,228
경기,226
모습,226
예정,222
인터뷰,220
해상,216
누리,216
이후,214
꾼들,211
수색,210
리본,205
진행,200
여행,198
이상,198
사진,197
조사,194
가운데,192
시작,190
주장,187
승무원,186
해양,185
안산,184
재난,184
제주,183
민간,183
청해진해운,182
가능성,178
선체,176
문제,176
내용,172
책임,172
투입,171
선사,171
생존자,167
대책,165
과정,164
항해사,164
세월,161
보도,160
생각,160
수습,159
보였,158
기적,157
해역,156
잠수부,156
사건,154
인근,152
도착,151
수학,149
진짜,147
하나,146
호의,144
동참,144
아이들,144
트위터에,144
일부,143
배우,143
세모,143
위로,142
지원,141
노란,141
정도,140
교사,137
기도,137
경우,136
구명,135
시신,134
잠수,133
사과,133
회사,132
필요,130
혐의,129
뉴스,128
발견,128
의혹,127
학년,126
실종,126
화물,126
총리,126
바다,123
박근혜,123
후보,122
여명,121
연안,119
사망,118
전달,118
전문가,117
대응,116
공개,116
결정,114
사회,114
운항,113
직원,112
마지막,112
유가족,112
위험,111
조합,111
유씨,111
미국,110
원인,110
학교,110
아들,110
의원,110
사망자,109
결과,109
방문,109
본부,107
지시,107
마련,107
전화,106
발표,106
지적,106
친구,105
유병언,105
홍가혜,105
구원,105
측은,103
포함,102
조치,102
관리,102
교신,102
활동,101
요청,100
게재,99
진입,98
해운,97
이름,97
연합,97
탑승,96
조끼,96
공식,96
조선,96
지역,95
언론,95
그룹,95
사이,95
해당,94
객실,94
직후,94
장관,94
추가,94
해서,94
비롯,94
논란,94
유족,94
서울,94
선내,93
한국,91
공무원,91
피해자,90
동안,89
통화,89
스타,89
훈련,89
일가,89
탑승객,88
계열사,88
메시지,87
만원,86
소속,86
차례,86
제기,86
합동,86
헬기,85
설치,85
검사,85
청와대,84
파악,83
설명,83
김수,83
운영,83
다이빙,83
한가,82
판단,81
이용,81
신고,80
정보,80
당국,79
내부,79
자리,79
장비,78
공기,78
희망,78
시스템,78
무사,77
참여,77
대형,76
선실,76
발언,76
구조작업,75
병원,75
해수,75
가슴,75
국가,75
여부,74
류현진은,74
이유,73
일정,73
단체,73
수산,73
학부모,73
얘기,73
인양,73
분노,73
의미,73
항로,72
입장,72
에이스,72
조문,72
추정,71
교수,71
명령,71
동영상,71
비판,71
국내,70
변경,70
행사,70
수사본부,70
사람들,70
브리핑,69
희생,69
지휘,69
아버지,69
말했,68
중앙,68
인명,68
취소,68
도움,68
정신,68
점검,68
대부분,67
출항,67
중요,67
재산,67
경비,66
출발,66
요원,66
조류,66
전체,66
관심,66
관행,66
기록,65
대한,65
최대,64
주변,64
분석,64
새정치,64
사용,63
계획,63
다음,63
출연,63
눈물,63
소리,62
어선,62
하루,62
합동분향소,62
충격,61
조타실,61
세계,61
규정,61
추모,61
확보,60
전날,60
부분,60
부모,60
부처,60
임신,60
퇴선,60
가능,59
누구,59
대처,59
준비,59
네티즌,59
체육관,59
관매,58
관계,58
연락,58
오늘,58
사무실,58
합수부는,58
좌현,57
인터넷,57
과거,57
새누리당,57
방침,57
긴급,56
갑판,56
접근,56
임시,56
소속사,56
영상,55
인원,55
행정부,55
실내체육관,55
북한,55
방향,55
아이,55
새벽,55
만큼,55
의사,55
귀환,55
자기,55
감사,55
도전,55
기자회견,54
않았다,54
연기,54
처리,54
구호,54
아해,54
중국,53
대변인,53
대상,53
상대,53
당일,53
정상,53
어머니,53
행동,53
인사,53
국회,53
특별,53
공동,53
성금,53
고등학교,52
이야기,52
차량,52
화제,52
분위기,52
대통령의,52
대비,51
병풍,51
전원,51
소환,51
진술,51
시도,51
침몰사고,51
출신,51
부부,51
목숨,51
페이스,51
전국,51
기독교,51
무한,51
개각,51
녹취,50
집중,50
안내,50
부산,50
승선,50
모두,50
근무,50
분향,50
해외,49
조타수,49
문자,49
사설,49
생명,49
그것,49
최고,48
기자,48
침수,48
생사,48
충돌,48
드라마,48
민국,48
안산시,48
기부금,48
기사,47
전문,47
이준석,47
압수수색,47
류현진,47
앵커,46
실제,46
촬영,46
여기,46
그동안,46
국장,46
지난해,46
경제,46
경선,46
사랑,46
구속,46
자금,46
담당,46
박모,45
우려,45
가수,45
생존,45
구명정,45
바람,45
매뉴얼,45
교육,45
역할,45
검경,45
상처,45
그림,45
아래,44
집계,44
성공,44
김모,44
직전,44
언급,44
제작,44
죄송,44
나라,44
각종,44
진심,44
이동,44
업무,44
일반,43
신원,43
앞바다,43
업체,43
비난,43
눈길,43
약속,43
민주,43
작성,43
김정구,43
다저스,43
작년,43
드래곤,43
당초,42
숫자,42
동원,42
예상,42
시각,42
핵심,42
주입,42
방법,42
에어,42
대기,42
국무총리,42
안행,42
지방선거,42
실시,42
기관,42
탑승자,41
최선,41
하자,41
반복,41
무리,41
요구,41
대화,41
세상,41
목사,41
출동,40
남성,40
센터,40
처음,40
포켓,40
편성,40
행위,40
선수,40
거짓,40
압수,40
핵실험,40
정원,39
자체,39
船社,39
사업,39
양현석,39
잘못,38
중심,38
최초,38
이모,38
관제센터,38
구조대,38
불과,38
수준,38
방안,38
멤버,38
위치,38
리포트,37
수중,37
계속,37
방송이,37
측이,37
시분,37
치료,37
불안,37
이씨는,37
밝혔,37
비슷,37
노력,37
어른,37
방식,37
참석,37
통과,37
내각,37
신도,37
항해,36
컨테이너,36
유속,36
평소,36
신분,36
특수,36
항의,36
작전,36
대피,36
질문,36
개월,36
면허,36
무엇,36
간절,36
결방,36
연결,36
기간,36
계기,36
홍가혜는,36
조직,36
변호사,36
유씨가,36
이방인,36
인명피해,35
인천항,35
여객,35
여성,35
상당,35
수십,35
왼쪽,35
목소리,35
피해,35
하늘,35
시민,35
엄마,35
전면,35
실질,35
모금,35
심리,35
감독,35
영농,35
수백,34
해군,34
의식,34
식당,34
불법,34
심경,34
올해,34
기원,34
적용,34
시즌,34
소유,34
미안,34
전환,34
고민,34
명단,33
본사,33
능력,33
송승헌,33
본인,33
증언,33
유포,33
개조,33
개그맨,33
통제,33
발부,33
한국선급,33
목련,33
정확,32
시설,32
저녁,32
인천,32
안개,32
인력,32
해상교통,32
김씨는,32
순간,32
일본에,32
트위터,32
프로그램,32
고려,32
공간,32
저희,32
기술,32
되기,32
분야,32
장면,32
지도,32
허위,32
공연,32
측에,32
위반,32
기업,32
이곳,32
교회,32
선배,32
침례,32
구조선,31
암초,31
사실상,31
제공,31
변침,31
증축,31
협회,31
번째,31
불가능,31
전망,31
백악관,31
채널,31
회의,31
정홍원,31
집단,31
포착,31
강조,31
자식,31
아내,31
소개,31
이전,31
종교,31
글귀,31
가지,31
적극,31
감정,31
비리,31
복음,31
규모,30
중대,30
매체,30
기상,30
라디오,30
착용,30
적재,30
말씀,30
경고,30
걱정,30
자녀,30
홈페이지,30
조금,30
묵념,30
빈소,30
해운사,30
표명,30
법안,30
협조,30
사퇴,30
닥터,30
조난,29
제목,29
좌초,29
행정,29
안타까움,29
중단,29
차원,29
해명,29
휴대,29
작동,29
사태,29
실소,29
조작,29
선거,29
정치,29
잠수함,29
프로필,29
주요,28
기준,28
국방부,28
배치,28
선생님,28
반성,28
특보,28
현지,28
실패,28
여자,28
야구,28
거리,28
유주,28
일침,28
음악,28
문화,28
승리,28
회복,28
장례식장,28
논의,28
박씨는,27
어려움,27
외국,27
항공,27
보유,27
지점,27
명복,27
발표회,27
아침,27
예방,27
검토,27
심정,27
컴백,27
비상,27
우리나라,27
정치인,27
홍씨,27
공사,27
건물,27
강화,27
체포영장,27
탤벗,27
한미,27
표현,26
소방,26
알려졌,26
본부장,26
신호,26
인정,26
현상,26
구도,26
구조대원,26
해운업계,26
구성,26
미군,26
여러분,26
주인,26
고정,26
구속영장,26
처벌,26
교감,26
우승,26
마무리,26
올림픽,26
개편,26
함정,25
팽목항에,25
나머지,25
다수,25
이하,25
통보,25
화재,25
무게,25
고인,25
경력,25
이씨가,25
그쪽,25
수색작업,25
유명,25
어디,25
정치권,25
자제,25
확정,25
기초,25
원칙,25
지급,25
설립,25
정황,25
골프,25
명의,25
예비,25
청소년,25
금지,25
이수,25
정상회담,25
음주운전,25
지속,24
규명,24
착수,24
시분쯤,24
박지,24
과적,24
활용,24
분간,24
인물,24
답답,24
문구,24
장치,24
카카오톡,24
주말,24
응원,24
프로,24
대국민,24
청와대는,24
오대,24
난간,24
오빠,24
수익금,24
생활,24
얼굴,24
자료,24
홍씨는,24
추진,24
상담,24
국토,24
국정,24
출석,24
제안,24
마을,24
부동산,24
신문,23
혼란,23
북쪽,23
본격,23
바닷물,23
총괄,23
건조,23
반면,23
의견,23
허가,23
년대,23
의문,23
한국을,23
무책임,23
머리,23
부인,23
영화,23
주주,23
물품,23
언니,23
정동,23
바지선,23
이해,23
지정,23
발전,23
부족,23
사인,23
제한,23
기본,23
단계,23
강씨,23
선두,23
단정,23
고통,23
관료,23
잉샹,23
기념관,23
북한이,23
주목,23
현황,22
영국,22
원문,22
가량,22
자동차,22
접수,22
기관장,22
구출,22
운행,22
기관사,22
조타기,22
경험,22
교체,22
잘못된,22
크레인,22
민관,22
구명보트,22
속도,22
연속,22
남편,22
박인영,22
이것,22
균형,22
부근,22
명예훼손,22
추적,22
주민,22
선발,22
허용,22
확산,22
사의,22
사회복지,22
미개,22
횡령,22
온라인,22
추성훈,22
보러가기,21
파도,21
이송,21
신속,21
천안함,21
인천에서,21
목포,21
책임자,21
최종,21
주의,21
지연,21
구조활동,21
휴대폰,21
버스,21
프랑,21
삼성,21
교육청,21
곳곳,21
남희석이,21
지분,21
여학생,21
유리,21
다양,21
비통,21
대단,21
일어나길,21
노래,21
징역,21
무게중심,21
배경,21
호소,21
유기,21
기억,21
작가,21
여론,21
경영,21
연정,21
어업,21
옹벽,21
국무회의,21
여직원,20
해안,20
외부,20
개최,20
엔진,20
해난,20
물살,20
당사자,20
예능,20
우왕좌왕,20
등장,20
사칭,20
사례,20
하시,20
대구,20
안내방송,20
어제,20
스트레스,20
트위터를,20
제시,20
위기,20
신뢰,20
자세,20
되길,20
있길,20
주일,20
상황실,20
현실,20
항만,20
자유,20
존재,20
귀국,20
의무,20
소통,20
해결,20
이닝,20
제출,20
인수,20
장례,20
코니탤벗,20
정책,20
대회,20
타워,20
법인,20
테러,20
유산,20
나무,20
전략,20
매입,20
정모,19
실시간,19
시장,19
서해훼리호,19
수용,19
수행,19
구간,19
으로,19
돌아오길,19
슈퍼,19
연예계,19
인간,19
강모,19
절차,19
당부,19
유도,19
급박,19
본선,19
심각,19
선택,19
급격,19
커뮤니티,19
편지,19
공동대표,19
지사,19
수원,19
시점,19
행태,19
이틀,19
야당,19
금융,19
자원봉사,19
출입,19
국제,19
작품,19
기회,19
전통,19
무능,19
제자,19
근거,19
일보,19
여론조사,19
송옥숙,19
시행,19
유원지,19
출두,19
전반,19
컨트롤,19
여권,19
차인표,19
경남고,19
공천,19
노트,18
최소,18
전복,18
최악,18
탐색,18
신모,18
주재,18
외상,18
취재,18
국적,18
러시아,18
주니어,18
자격,18
후배,18
입사,18
스미싱,18
복도,18
인천제주,18
교황,18
동료,18
행렬,18
이벤트,18
물속,18
라인,18
매니저,18
사흘째,18
방송인,18
운동,18
산하,18
복원력,18
통신,18
수난,18
오른쪽,18
평형,18
반대,18
죽음,18
실점,18
류현진이,18
행복,18
교인,18
정씨는,18
조문객,18
정몽준,18
임원,18
트럭,17
급파,17
세력,17
정정,17
실장,17
임무,17
안심,17
급선회,17
한국에,17
이씨,17
사흘,17
실수,17
손길,17
업계,17
대규모,17
구단,17
반발,17
체험,17
아빠,17
거짓말,17
산업,17
유언비어,17
박신혜,17
시절,17
잭슨,17
프레스,17
회피,17
도주,17
영장,17
할머니,17
거론,17
당신,17
자연,17
온주완,17
자주민,17
투자,17
선동,17
수술,17
대학생,17
측근,17
안정,16
방송사,16
바닥,16
인천시,16
상선,16
무시,16
여분,16
한데,16
전했,16
붕괴,16
파견,16
선미,16
구체,16
표시,16
기존,16
달라,16
과실,16
업무상,16
초동,16
바탕,16
시속,16
무전기,16
기분,16
비극,16
지하철,16
마찬가지,16
트라우마,16
효과,16
구세군,16
보도국장,16
사촌,16
용서,16
홍가혜가,16
라운드,16
좌우,16
관련자,16
심사,16
허위사실,16
주위,16
기능,16
절망,16
게시물,16
새누리당은,16
공격,16
역대,16
써달라며,16
병장,16
박씨,16
간부,16
출국,16
전시,16
사진작가,16
고위,16
국면,16
인천지검,16
심은진,16
동아리,16
화랑,16
거래,16
등대,16
보트,15
고속정,15
뱃머리,15
환경,15
승선원,15
잠정,15
인재,15
측에서,15
해저,15
유씨는,15
되풀이,15
아무것,15
이슈,15
피의자,15
시청자,15
반박,15
징후,15
바닷속,15
한국인,15
맹골수도,15
뭔가,15
절반,15
루머,15
동반,15
종자,15
구가,15
염원,15
평가,15
그때,15
군청,15
근처,15
경향,15
사이트,15
고개,15
사죄,15
부모님,15
여당,15
이주,15
자살,15
검색,15
교통,15
신경,15
고장,15
청구,15
치사,15
구호법,15
적절,15
비행기,15
성과,15
대원,15
증거,15
식사,15
부활,15
등판,15
오하마나호,15
개혁,15
로비,15
복귀,15
노후,15
명목,15
라이프,15
안타,15
자원봉사자,15
영어,15
전액,15
부담,15
안보,15
등록,15
예산,15
비자금,15
조성,15
방한,15
자택,15
현직,15
적발,15
동양,15
국가안전,15
고속,14
대표적,14
마일,14
정군,14
결론,14
제외,14
문자메시지,14
선상,14
속보,14
악화,14
적재량,14
안팎,14
연예인,14
감안,14
강행,14
개발,14
미래,14
삭제,14
공급,14
이때,14
비교,14
제도,14
협의,14
아베,14
선회,14
남자,14
대신,14
지금,14
고의,14
나중,14
강력,14
한국의,14
평균,14
남희석,14
연예,14
비용,14
모임,14
회원,14
고무보트,14
단독,14
영향,14
금액,14
단어,14
어린이,14
유출,14
전쟁,14
운항관리,14
자동,14
수사관,14
게시판,14
사가,14
장기,14
수차례,14
위협,14
동생,14
부활절,14
땅볼,14
무실점,14
합수부,14
통합,14
타자,14
위원회,14
영정,14
최고위원,14
범정,14
삼성카드,14
내역,14
연대,14
노란색,14
대가,14
전남도,14
실천,14
치유,14
도발,14
양국,14
양학,14
압박,14
저작권,14
욕구,14
혼선,13
긴박,13
당연,13
남학생,13
영여,13
레이더,13
철저,13
부상,13
포기,13
기념,13
블락비,13
이씨를,13
신중,13
의심,13
정조,13
이탈리아,13
인식,13
격실,13
각국,13
연출,13
형태,13
격려,13
불구,13
조심,13
조씨는,13
담요,13
표정,13
김한식,13
거기,13
동의,13
여야,13
개인,13
악플러,13
선정,13
분통,13
장례식,13
리그,13
입수,13
신청,13
과장,13
분명,13
직업,13
이현,13
따뜻,13
계약직,13
신설,13
장애,13
투수,13
병사,13
각자,13
규제,13
불신,13
버락,13
쪽지,13
선포,13
선주,13
변화,13
형식,13
경북,13
택시,13
한국선급은,13
재해,13
예배,13
근본적,13
청와대에서,13
임직원,13
개선,13
감시,13
총사퇴,13
위원장,13
믿음,13
대의원,13
공부,13
의학,13
행세,13
가격,13
탈세,13
회계,13
거액,13
묘목,13
설경,13
송윤아,13
오디오,13
면세,13
선생님들,12
페리,12
상륙,12
게임,12
전해졌,12
홍보,12
동창생,12
장애물,12
항구,12
기재,12
완전,12
북방,12
한국병원,12
보고,12
별도,12
활약,12
기관실,12
중국인,12
대답,12
일각,12
정지,12
확률,12
사전,12
팽목항에서,12
덕분,12
노선,12
도교육,12
재개,12
대책위원회,12
누군가,12
제작진,12
의도,12
차장,12
얼마,12
철수,12
종합,12
가정,12
오열,12
남희석은,12
전지,12
종합편성,12
게시,12
일곱,12
봉사,12
진실,12
특집,12
오해,12
구난,12
권한,12
사법처리,12
수사가,12
범위,12
소문,12
그날,12
국회의원,12
주소,12
공인,12
둘째,12
고용,12
달성,12
행진,12
우울,12
박주,12
다저,12
스타디움,12
출전,12
홈런,12
장남,12
음모,12
유지,12
서비스,12
안치,12
특정,12
참고인,12
유니세프,12
청와대가,12
시인,12
열매,12
첫날,12
세금,12
조건,12
공직자,12
총체,12
오씨는,12
뉴욕,12
촉구,12
의협,12
초간,12
송정,12
일상,12
권은희,12
천재,12
집회,12
파의,12
一家,12
유씨와,12
모세,12
목적,12
유착,12
적폐,12
정비,12
스님,12
서병,12
오거돈,12
새무리,12
사고현장,11
시야,11
미흡,11
사항,11
남서쪽,11
국가안보,11
참가,11
유람선,11
앙큼,11
변명,11
부적절,11
실망,11
해도,11
차단,11
산소,11
상의,11
이용욱,11
전파,11
달러,11
사정,11
서로,11
롯데,11
책임감,11
진정,11
여개,11
졸업,11
조정,11
기본적,11
복지,11
원내,11
감독원,11
무관,11
콘서트,11
해병대,11
악플,11
화물차,11
수위,11
화영,11
박신혜가,11
거부,11
편법,11
박씨가,11
해지,11
서류,11
계좌,11
사무장,11
연구소,11
