,x
1, 세월호 침몰 사고 대응 과정에서 제구실을 못해 비판을 받고 있는 안전행정부안행부의 한 고위공무원이 세월호 사망자 명단 앞에서 기념사진을 찍으려 한 것으로 알려져 직위가 박탈됐다 안행부는  일 세월호 사고와 관련해 전남 진도에서 비상근무를 하던 송 아무개 감사관국장급이 진도군 팽목항에서 사진 촬영 문제로 물의를 일으켰다며 즉시 직위를 박탈하고 대기발령 조처를 했다고 밝혔다 안행부는 조사를 거쳐 사실이 확인되면 직위해제를 하고 법적인 징계 절차에 들어갈 방침이다 송 감사관은 이날 오후  시께 회의를 마친 뒤 기념사진을 찍자며 팽목항 상황본부에 붙어 있는 세월호 침몰 사망자 명단 앞에 섰던 것으로 전해졌다 송 감사관은 사고 현장을 지원하려고 지난  일 오후  시부터 팽목항에서 파견 근무를 했고 이날 오후  시가 파견이 끝나는 시점이었다 이런 소식이 전해지자 세월호 실종자 가족들은 극도로 흥분해 우리는 하루하루 피가 마르는데 이게 기념할 일이냐며 강하게 항의했다 안행부 관계자는 사실 여부는 추가 확인이 필요하다 일단 각종 언론에서 송 감사관이 기념사진을 찍었다는 등의 보도가 났고 워낙 민감한 내용이라 바로 인사 조처를 했다 안행부 감사관실 조사과에서  일부터 조사할 것이라고 설명했다 중앙징계위원회가 조사 내용을 바탕으로 징계 의결을 하면 바로 직위해제가 되고 후속 조처에 들어가게 된다 세월호 사고 뒤 안행부는  차관 소관 부서 직원들을 팽목항에 보내 업무를 지원하도록 하고 있다 송 감사관은 박근혜 정부 들어 박 대통령 이름으로 전수한 훈장의 첫번째 주인공이었다  년 간의 박 대통령 재임기간 동안  만 명 이상이 받게 될 훈장의 첫 단추를 끼운 인물이 엄중한 상황에서 돌출행동을 해 물의를 자초하고 말았다 음성원 기자  
2,해양수산부 소속인 제주 해양교통관제센터관제센터가 세월호 침몰 상황을 먼저 연락받고 소속이 다른 진도 관제센터해경 관할에 이를 알려주는 사이 재난사고 인명 구조에 가장 중요하다는 골든타임  분이 허비돼버린 것으로 드러났다 해경은 침몰 과정을 담고 있는 진도 관제센터 교신 내용을 석연치 않은 이유로 공개하지 않고 있다는 지적이 제기되자 사고 발생 닷새째인  일에야 이를 뒤늦게 공개했다 검경 합동수사본부가 공개한 침몰 당시 진도 관제센터와 세월호  등항해사 사이의 교신 내용을 보면 진도 관제센터는 사고가 난  일 오전  시 분 세월호를 호출한 뒤 첫 질문으로 침몰 중이냐고 묻는다 세월호는 그렇다 해경에 빨리 좀 연락을 부탁드린다고 했다 진도 관제센터는 곧바로 근처를 지나던 선박을 호출해 세월호 구조작업을 지시한다 이 선박은 오전  시 분께 세월호 근처까지 접근해 승객들이 탈출하면 구조하겠다고 알린다 그러나 애초 제주 관제센터해양수산부 관할가 세월호로부터 침몰 신고를 접수한 시간은 진도 관제센터해경 관할보다  분이나 앞선 오전  시 분이었다 세월호는 제주와 진도 관제센터 두 곳에 침몰 상황을 반복해서 알린 셈이다 진도 관제센터가 처음부터 세월호와 직접 교신을 주고받았다면 인명 피해를 줄일 수 있었다는 지적이 나오는 이유다 진도 관제센터는 세월호와 교신을 시작한 뒤 조타실에 승객들을 배 밖으로 탈출시키라는 지시를 여러 차례 했지만 세월호 쪽은 구조선 도착 여부만을 되풀이해 묻다 탈출 타이밍을 놓친 정황도 확인됐다 이와 함께 진도 관제센터는 세월호가 자신들의 관할 구역에 진입한 뒤  시간 동안 항적을 모니터링하거나 직접 교신한 내역이 없는 것으로 나타났다 인근의 다른 선박들과는 계속 교신을 유지하면서도 유독 세월호에 나타난 이상 징후만은 제주 관제센터로부터 연락 받기 전까지 전혀 파악하지 못해 관제 실패 의혹이 제기된다 한편 김진태 검찰총장은 사고 현지에 설치된 수사본부와 별도로 인천지검에 세월호 운항사인 청해진해운과 선주 등을 수사하도록 지시했다 검찰은 또 세월호 승무원 등  여명을 출국금지하고 사고 전후의 정확한 상황을 파악하기 위해 승무원과 승객들의 카카오톡 대화 내용을 압수수색으로 확보해 분석하고 있다 김지훈 김원철 기자  선장 직접 판단해 인명 탈출시켜라 세월호진도관제센터 교신 녹취록선체 기울어져 사람들 이동 불가 세월호제주관제선터 교신 녹취록 
3, 여객선 세월호 침몰 사고가 나기  주 전 이 배의 조타기에 이상 징후가 있었던 정황이 드러났다  일 세월호의 한 선원이 선사인 청해진해운에 요청한 세월호 수리신청서를 보면 조타기 운항 중 노 볼티지 알람이 계속 들어와 본선에서 차상전원 복구 및 전원 리셋시키며 사용 중이나 근본적인 원인을 해결치 못했습니다라고 적혀 있다 이어 상기의 부분을 원만히 해결할 수 있도록 수리 의뢰를 요청하는 바입니다라고 돼 있다 조타기 전원 접속이 불량해 전원 리셋 기능을 사용하고 있으니 수리를 해달라는 내용이다 세월호  기사가 지난  일 작성한 것으로 돼 있는 이 문서에는 기관장선장상무사장 등의 결재 서명이 담겨 있다 조타기 결함 부분이 수리가 됐는지는 확인되지 않고 있다 이와 관련해 여객선 기관장 출신인 이아무개 씨는 알람 표시 전원 공급과 관련된 것이지 조타기 성능과는 관련이 없다고 설명했다 세월호 조타기 결함 가능성에 대해서는 조타수도 언급한 바 있다 조타수 조아무개 구속씨는 지난  일  등 항해사 박아무개씨의 지휘에 따라 평소대로 조타키를 돌렸다 하지만 평소보다 많이 돌아갔다고 밝혔다 검경 합동수사본부 관계자는  일 이번 사고의 주요 원인으로 지목되는 급변침과 관련해 항해사와 조타수는  도 정도만 돌리려고 했는데  도나 돌아갔다고 진술하고 있다 조타수는 조타기가 고장났다는 취지의 진술을 하고 있다며 진술이 왔다 갔다 해서 좀더 조사가 필요하다고 말했다 인천김영환 기자  
4,진도 해상교통관제센터가  일 세월호와의 교신 기록을 제주 해상교통관제센터보다 사흘이나 늦게 공개하면서 해상 안전 관리 체계에 문제가 있다는 지적이 나오고 있다 교신 기록을 먼저 공개한 제주 관제센터와 달리 진도 관제센터는 교신 기록 공개 전 제주와 우리는 관리하는 곳이 다르다 위에서 공개하라는 말이 전혀 없었다고 밝히기도 했다 해상교통관제센터는 항공기 관제탑처럼 선박들이 안전 운항을 하도록 안내하는 구실을 한다 레이더와 자동선박식별장치 등으로 선박을 실시간 추적하고 교신하며 위험 상황 등을 알려준다  년 포항항에 해상교통관제 시스템을 처음 도입한 뒤 현재  곳으로 늘어났다 하지만 해상교통관제센터 관할 당국은 둘로 쪼개져 있다  년 태안 기름유출 사고를 계기로 항만 근처  곳의 해상교통관제센터는 해양수산부가 관리하지만 진도와 여수는 해수부의 외청인 해양경찰청이 따로 맡는다 진도와 여수 등의 해역은 사고 위험이 높고 현장에 경찰력을 파견할 수 있는 권한도 해양경찰청에 있다는 이유에서다 관리하는 곳이 다르다 보니 정보 교환에도 문제가 생길 수 있다 특히 항만 관제 구역에서 운항하던 선박이 항로를 벗어나도 해수부 직할 관제센터는 알기가 어려운 것으로 알려졌다 항로 신고는 해양경찰청 쪽에 하도록 되어 있기 때문이다 여수 해상교통관제센터 관계자는 선장들 입장에서는 관제 구역이 바뀌면 번호를 바꿔줘야 하고 우리 쪽은 누가 들어오고 나갔는지 파악하기 힘들다 자동선박식별장치는 공유하지만 현재 실시간 레이더 정보는 교환하지 않고 있다고 말했다 배가 항로대로 운항했는지를 놓고도 해수부는 애초 항로와 크게 다르지 않다고 했지만 해양경찰은 권장 항로를 이탈했다고 발표하며 엇박자를 보이기도 했다 해경 관계자도 해상교통관제 시스템이 이원화되면서 문제가 생기는데 대대적 수술이 불가피할 것 같다고 말했다 서영지 기자  선장 직접 판단해 인명 탈출시켜라 세월호진도관제센터 교신 녹취록선체 기울어져 사람들 이동 불가 세월호제주관제선터 교신 녹취록 
5,세월호가 침몰한 진도 해역을 관할하는 해양경찰청 산하 진도 해상교통관제센터가 세월호의 관할구역 진입 때부터 사고가 발생한 시각까지  시간가량 세월호의 움직임을 모니터링하지 않았다고 밝혀 그 배경에 의혹이 일고 있다 ■ 진도 관제센터 사고 전 세월호 상황 파악 손 놔  일 공개된 교신기록을 보면 진도 관제센터는 세월호가 관제구역에 진입한 오전  시 분께부터 제주 해상교통관제센터로부터 사고 신고를 전해 들은  시 분까지 약  시간 동안 세월호와 교신한 기록이 전혀 나타나지 않는다 세월호의 항적도를 보면 세월호는  일 오전  시 분 초 전남 진도군 병풍도 북동쪽 해상에서 갑자기 서남쪽으로  도가량 급선회했다 그러다  시 분 초에 다시 방향을 제주와 반대 방향인 북쪽으로 틀어 지그재그로 움직였다 하지만 해경은 그 시간에 문제가 생긴 사실을 전혀 감지하지 못한 것으로 보인다 하지만 진도 관제센터는 오전  시 당시 관할 구역에 진입한 다른 선박들에는 조류 정보를 알렸고 개별 선박으로부터 출항진입 보고도 받았다 전방에 출항하는 어선 주의하기 바란다고도 했다 진도 관제센터는 세월호에 문제가 생긴 지  분이 지난  시 분에야 세월호를 호출했다  분 뒤 세월호와 연결되자 지금 침몰 중입니까라고 물었다 앞서  시 분 세월호가 제주 관제센터에 사고 신고를 했고 제주 관제센터가 진도 관제센터에 긴급 상황을 전달한 것이다 제주 관제센터는  시 분 세월호와 교신한 뒤 그 내용을 해경에 전달했고 해경 상황실은  시 분에 신고 전화를 받아 세월호가 침몰하고 있다는 것을 파악했다 그런데 해경 소속인 진도 관제센터가 해경 상황실 신고  분 뒤에 처음으로 세월호와 교신을 시도한 점은 해경 내 상황 전달 시스템에 문제가 있었다는 것으로 볼 수 있다 해사안전법 시행령의 선박 교통관제 업무에는 선박의 좌초충돌 등의 위험이 있는지를 관찰해 해양 사고 예방과 관련한 정보를 제공하는 것이 포함돼 있다 진도 관제센터가 세월호를 모니터하지 않은 채 손을 놓고 있었던 것은 규정된 업무를 하지 않았다고 볼 수 있다 ■ 세월호 왜 진도 관제센터에 신고 안 했나 세월호는  일 오전  시 분께 전남 신안군 도초도와 흑산도 사이의 진도 관제센터 관할구역에 들어섰다 국토해양부의 전국 해상교통관제 안내서를 보면 선박이 특정 관제센터 구역에 들어가면 반드시 배 이름 호출부호 항행 계획 목적지 적재 화물 등을 보고해야 한다 또 각 지역 관제센터 구역을 지날 때 그 관제센터가 사용하는 초단파무선통신을 청취해야 한다 해양경찰청 고시를 보면 진도 관제센터는 채널 과  을 사용한다 이 구역을 지날 땐 항상 이 채널을 열어놓고 들어야 한다는 뜻이다 제주 관제센터가 사용하는 채널은  와  이다 세월호는 사고 발생 때 제주 관제센터와 채널 로 교신했다 그러다 감도가 떨어지자 채널 을 사용했다 제주인천을 운항하는 한 항해사는 채널 은 해기사들이 사적으로 대화할 때 쓰는 채널이다 그 지역은 명확하게 진도 관제센터 관할인데 제주 관할인  와 사적 용도로 쓰는  을 사용했다는 게 이해할 수 없다고 말했다 이에 대해 수사본부는 세월호가 출항 때부터 목적지인 제주 관제센터와 함께 채널 로 맞추기로 한 사실을 확인됐다 정관인지 규정인지는 정확하지 않지만 그 채널을 쓰기로 한 서류를 확보했다고 밝혔다 세월호가 왜 해양경찰청 고시를 어기면서 제주 관제센터와 먼저 교신했는지는 앞으로 밝혀야 할 대목이다 ■ 사고 전 이상 징후도 많아 세월호가 최초로 사고를 알린  시 분 훨씬 전부터 이상 징후가 나타났다는 정황은 여러 가지가 있다 경기 안산 단원고가  일 학부모들에게 밝힌 사고 및 대응 현황판을 보면 이날 오전  시 분 제주해경으로부터 배와 연락이 안 된다는 연락을 받았다고 돼 있다 해경은 이를 부인했다 이어  시 분께 강아무개 사망 교감은 학교에 전화를 걸어 배에 침수가 발생했다고 알렸다 이런 관측과 맞아떨어지는 정부기관 기록도 나오고 있다  일 국립해양조사원 누리집을 보면 이 기관은  일 진도군 관매도 부근 여객선 침몰 조난 협조라는 제목의 항행경보제 호에서  시 분경 세월호가 침몰 중이라고 밝히고 있다 같은 날 진도군청 상황실이 전라남도 상황실에 보낸 세월호 여객선 침몰 상황보고에는 사고 발생 시간이 오전  시 분으로 적혀 있다 이에 대해 두 기관은 언론 보도를 보고 기록했다 실수다라고 해명했다 일부 생존자들은  시 전후로 쿵 하는 소리를 듣거나 배가 기우는 것을 느꼈다는 말도 하고 있다 이경미 김기성 기자  
6,세월호 침몰 사건과 관련해 각 언론사의 속보 경쟁 등으로 각종 부적절한 보도가 이어지자 한국기자협회가 재난보도 준칙 마련을 서두르기로 했다 기자협회는  일 보도자료를 내어 일부 언론이 국가적 재난인 세월호 참사와 관련한 취재 및 보도 과정에서 희생자 가족과 국민을 혼란에 빠뜨리며 신뢰를 잃는 오욕의 민낯을 드러냈다며 이른 시일 안에 재난보도 준칙을 제정하겠다고 밝혔다 기자협회는 조만간 정부 관계자 재난 전문가 시민단체학계언론계 인사들이 참여하는 실무위원회를 구성해 실무 작업에 들어갈 예정이다 기자협회는 준칙을 만들기까지 시간이 필요한 점을 고려해 이번 사건에 관해서는 긴급 가이드라인을 마련해 내놨다 가이드라인은 세월호 참사를 보도하면서 △신속함보다는 정확성을 우선하고 △피해 관련 통계나 명단은 재난구조기관의 공식 발표에 의거하며 △신중하게 현장 취재와 인터뷰를 진행하도록 권했다 또 △유가족실종자 가족의 입장 배려 △생존 학생어린이에 대한 엄격한 취재 제한 △오보의 즉각적인 사과 △자극적 영상사진어휘 사용 자제 △철저한 검증보도 △희망과 위로의 메시지 제시 노력 등을 명시했다 재난보도 준칙은  년  월 대구 지하철 참사 이후 재난보도에 대한 마땅한 보도 기준이 없다는 여론에 힘입어 제정이 추진됐으나 각 언론사 간의 이해 충돌로 결실을 맺지 못했다 는  년 창간 당시 개별 언론사로선 최초로 윤리강령을 제정한 바 있고  년  월엔 취재보도 준칙을 마련해 시행해오고 있다 한겨레는 이 준칙에서 진실 추구 공공의 이익 우선 인권 옹호 등을 한겨레 기자의 책무로 정하고 사건사고의 희생자 범죄 피해자나 그 가족을 취재할 때에는 마음의 상처가 덧나거나 피해가 커지지 않도록 최대한 배려하도록 하고 있다 언론인권센터의 윤여진 사무처장은 언론계의 숙원이나 마찬가지였던 재난보도 준칙이 마련된다는 것은 분명 환영할 만한 소식이라고 말했다 이정국 기자  
7,청와대로 가겠다는 세월호 실종자 가족들을  일 경찰이 막아서고 채증까지 한 것은 아무런 법적 근거가 없다는 지적이 나온다 실종자 가족들의 움직임 자체를 대정부 시위로 간주한 경찰이 하던 습관대로 대처한 것이다 경찰관직무집행법에는 범죄행위가 목전에 행하여지려고 하고 있다고 인정될 때에는 이를 예방하기 위해 필요한 경고를 하고 그 행위로 인하여 인명신체에 위해를 미치거나 재산에 중대한 손해를 끼칠 우려가 있어 긴급을 요하는 경우에는 그 행위를 제지할 수 있다는 규정이 있지만 역시 이 경우에는 해당하지 않는다 공익인권변호사모임 희망을 만드는 법의 서선영 변호사는 심각한 범죄가 눈앞에서 벌어지고 있거나 벌어질 우려가 현저한 상황에서나 이런 조치가 취해질 수 있다 이날 경찰의 행위는 법적으로 아무런 근거가 없다고 말했다 또 시간적 장소적으로 근접하지 않은 다른 지역에서 집회 참가자들을 차단하는 것은 위법이라는 대법원의  년 판례도 있다 가족들이 청와대 앞 집회를 실제로 추진했더라도 이를 제지해선 안 된다는 것이다  년에는 서울에서 열리는 집회에 참석하기 위해 광주에서 출발하려던 전국자치단체 상용직 노조원  명이 경찰의 제지로 발이 묶이자 국가를 상대로 낸 손해배상 청구소송에서 승소해  인당  만원의 위자료를 받기도 했다 세월호 침몰 실종자 가족들이  일 오전 청와대 항의 방문을 시도 진도군 군내면 진도대교 인근에서 경찰에 가로막히자 청와대로 향하는 길을 열어줄 것을 요구하고 있다 연합뉴스당시 재판부는  여㎞나 떨어진 곳에서 집회 참석을 위해 이동하려는 이들을 원천 차단한 것은 위법한 공무집행이라고 봤다 세월호 실종자 가족들의 발걸음이 경찰에 의해 제지된 전남 진도대교에서 청와대까지 거리는  ㎞다 민주사회를 위한 변호사모임의 박주민 변호사는 경찰이 가족들을 진도 현장에서 가로막은 것은 직권을 남용해 시민들의 이동의 자유를 차단한 것이고 동시에 불법한 공무집행을 한 것이라고 지적했다실종자 구조와 선내 수색 등이 지지부진한 데 항의하려고  일 오전 청와대로 가겠다고 나선 세월호 실종자 가족들이 전남 진도군 군내면 진도대교 앞에서 경찰에 막히자 도로에 앉은 채 서로 팔짱을 끼고 있다 진도김태형 기자   게다가 이날 경찰은 동영상 카메라를 동원한 채증까지 했다 집회나 시위가 아니었는데도 그랬다 과도한 채증을 중단하라는 국가인권위원회의 권고에 대해 경찰청은 지난  일 불법행위가 이뤄지고 있거나 이뤄진 직후 증거보존의 필요성이나 긴급성이 인정되는 경우에만 채증을 하겠다고 밝힌 바 있다 이와 관련해 전남경찰청 관계자는 가족들의 행위를 집회나 시위로 보고 강제력을 행사하려던 것은 아니며 현장의 병력이 채증이라기보다는 기록 차원에서 녹화를 한 것 같다 실종자 가족들의 마음을 헤아려 앞으로는 이런 일이 벌어지지 않도록 하겠다고 해명했다 송호균 기자  
8,세월호 사고가 발생한 지 나흘째 구조와 피해자들을 도우려는 따스한 손길들이 이어지고 있다 부활절인  일 전국 교회와 성당에서는 희생자들의 명복과 실종자 귀환을 비는 예배와 미사가 잇따라 열렸다 구호단체 희망브리지 전국재해구호협회는 네이버 해피빈과 다음 희망해 누리집을 통해  일 오후 현재 성금을  억원 넘게 모았다 네이버 해피빈에선  일부터 여객선 침몰 참사 긴급구호를 내걸고 목표 금액  억원을 모금하기 시작한 지 나흘째인  일 저녁  시 현재  억 여만원이 모였다 다음 희망해에서도  일 저녁  시 기준으로  여만원이 쌓였다 희망해에선 누리꾼들이 댓글을 달거나 트위터 등으로 글을 보내면 다음이 한 건당  원씩 후원하기도 한다 안산 단원고 학생들과 또래 학생들도 나섰다 서울 영락고등학교  학년  반 학생  명은  일 저녁 카카오톡 학급 단체방에서 우리가 도울 일은 없을까를 논의했고 다음날 학교에서 만나 구호물품을 보내자고 결정했다 영락고 학생 김혜준 양은 동갑인데다 수학여행 가다가 사고를 당한 건 누구라도 겪을 수 있는 일이라서 더 공감하는 것 같다며 학급비로 컵라면과 초코바를 사기로 했고 집에서 도움이 될 만한 물품을 각자 가져오기로 했다고 말했다 학생들은  일 전남 진도체육관으로 구호물품을 보낼 계획이다 이 반 담임인 정연 씨는 국민들이 모두 충격을 받았지만 학교 현장 분위기는 훨씬 더 참담하다 이런 상황에서 아이들이 자발적으로 작은 힘을 모으려고 하니 대견하고 고맙다고 말했다 경남 거창중앙고 학생들은 소셜네트워크서비스로 참여를 요청했다 이 학교  학년 오상용 군을 비롯한  명은  일  여명이 가입한 페이스북 그룹 거창사랑에 많은 실종자 가족들은 저와 같은 또래의 자식들이 빨리 구조되기를 원하고 계시기 때문에 구호물품을 보낼 예정입니다라고 글을 올렸다 오군은 글을 본 또래 학생들로부터 많이 연락을 받았다  일 저녁에 직접 가서 물품과 후원금을 전달하겠다고 말했다 대학가도 봄축제를 취소하고 모금에 나섰다 서울대 축제를 기획하는 단체인 축제하는 사람들은  월 일로 예정된 봄축제를 취소하기로 했다 이 단체는  일 페이스북에 세월호 침몰 사고에 대한 애도의 마음을 담아 봄축제 취소를 결정했다고 밝혔다 서울대는  일 글로벌사회봉사단 소속 학생  명을 진도로 보내 봉사활동에 참여하기로 했다 고려대 총학생회는  일부터 학생들을 상대로 모금을 시작했다 이나영 고려대 부총학생회장은  일 오후  시 분까지  만원이 모금됐다 화요일 낮  시에 마감해 전달할 것이라고 말했다 종교계에서도 희생자들을 애도하고 실종자들의 생환을 간구하는 마음들을 모았다  년 한국교회 부활절준비위원회는 이날 새벽  시 서울 연세대 노천극장에서  만 여명이 모인 가운데 생명의 주님 우리를 불쌍히 여기소서를 주제로 부활절 연합예배를 열었다 참석자들은 본예배에 앞서 세월호 침몰 참사 희생자들과 실종자들을 위한 특별기도를 했다 천주교 서울대교구장 염수정 추기경은 이날 오후  시 서울 가회동성당에서 열린 미사 강론에서 예수 그리스도의 부활의 은총이 이번 여객선 참사로 고통받는 이들에게 고난을 이겨내는 버팀목과 희망이 되기를 기도한다고 말했다 서울가톨릭사회복지회와 광주가톨릭사회복지회는 진도체육관 앞과 팽목항에 부스를 마련해 실종자 가족을 위해 기도하고 있고  일부터는 매일 저녁  시에 미사를 올린다 진도체육관에 긴급재난구호봉사대를 파견한 조계종사회복지재단은  일 저녁  시부터  일 새벽  시까지 서울 조계사 대웅전에서  여명이 참석한 가운데 실종자들의 무사 귀환을 기원하는 촛불기도를 한 데 이어  배 정진을 했다 박수지 기자 조현 종교전문기자  
9,세월호가 잠수함과 부딪혀 침몰했다는 소문이 인터넷을 통해 빠르게 확산되자 국방부가  일 사실무근이라고 해명에 나섰다 김민석 국방부 대변인은 이날 세월호의 잠수함 충돌설에 대해 세월호 침몰 뒤 전혀 근거 없는 허위사실이 인터넷과 에스엔에스에서 광범위하게 유포되고 있으나 전혀 사실이 아니다라며 사고 당시 해당 수역은 수심 이 얕아 잠수함이 활동할 수 있는 구역이 아니고 당시 그곳에선 작전훈련이 없었다고 말했다 국방부는 이와 관련해 허위사실 유포에 대해 경찰 수사를 요청하겠다고 나섰다 또 김 대변인은 세월호가 항로를 변경한 것이 한미 연합 군사훈련 때문이라는 소문에 대해서도 해당 수역은 훈련을 위한 항행금지구역으로 선포되지 않았을 뿐 아니라 인근 해상에서 어떤 연합 해상훈련도 없었다 미 해군의 보놈 리처드함은 사고 지점에서  마일 떨어진 공해상에 있었다고 말했다 이밖에 김 대변인은 방위비 분담금 특별협정 비준 통과를 위해 국민들의 관심을 돌리고자 세월호 침몰을 조작했다는 소문에 대해선 전혀 근거가 없으며 정부와 국회 국민을 모독하는 대단히 악의적인 주장이라고 비판했다 한편 국방부는 수상구조함인 통영함이 왜 세월호 구조작전에 투입되지 않았느냐는 논란에 대해서는 현재 통영함은 여전히 조선소에서 장비를 보완하고 있어 해군에 인도되지도 않았다 실전 배치도 되지 않은 통영함이 구조 현장에 무리하게 투입될 경우 장비 작동과 안전상에 심각한 문제가 발생할 소지가 있다고 말했다 현재 통영함은 해군에 인도되지 않은 상태로  년 개월이 지나도록 조선소에서 장비를 보완하는 과정에 있다박병수 선임기자  
10,세월호 사고 생존자들은 세월호가 쿵 소리와 함께 기울기 시작했다고 증언하고 있다 일부 생존자는 이 쿵 소리를 정상 운항 시간으로 알려진  일 오전  시 이전에 들었다고 증언하고 있어 사고 발생 시각에 대한 논란을 키우고 있다 구조된 정아무개 양은 여객선  층 방 안에 있었는데 쿵 소리가 나더니 갑자기 배가 기울기 시작했고 밖에 나와 보니 나를 비롯해 아이들이 중심을 못 잡고 휘청휘청하다가 넘어졌다고 증언했다 세월호 승무원 전아무개씨는 당직 교대를 위해 기관일지를 쓰던 오전  시 분께 쿵 하는 소리를 들었다고 증언했다 쿵 소리는 세월호가 화물과 차량이 한쪽으로 쏠릴 만큼 급격한 회전을 하는 과정에서 발생한 것으로 보인다 화물이 한쪽으로 쏠리면 선체 복원력에 매우 심각한 영향을 미치게 되는데 실제 해양조선 전문가들은 세월호의 침몰 원인으로 변침선박이 진행 방향을 트는 것 구간에서의 미숙한 운항과 이로 인한 적재 화물의 쏠림을 지목하고 있다 합동수사본부 역시 뱃머리를 급히 틀다 적재한 화물이 한쪽으로 쏠려 균형을 잃은 것을 유력한 사고 원인으로 보고 있다 그런데 현재까지 알려진 정상 운항 시간인 오전  시 이전에 쿵 소리가 나고 배가 크게 흔들렸다는 증언도 일부 나오고 있어 실제로 사고가 발생한 시각은 신고 시각오전  시 분보다 훨씬 앞설 것이라는 추정이 이어진다 최초 신고가 접수된 오전  시 분보다 크게 앞선 시점에 세월호가 사고 해역 부근에 멈춰 서 있었다는 목격담도 나왔다 사고 해역 인근인 관매도에 살고 구조에도 나선 한 어민은 언론 인터뷰에서 바다로 미역을 따러 나가는 시간이 아침  시 분이니 내가 바다에서 그 배를 본 것이 아마  시에서  시 분쯤이었을 것이다 하얀 배가 가만히 있기에 왜 그러나 싶고 이상하다 생각했지만 그 외에 별다른 특이점이 안 보여 그냥 마을로 돌아왔다고 말했다 박기용 기자  
