,x
1, 일이하 한국 시각 류현진이 선발 등판한 다저스의 홈구장인 다저스타디움에서는 경기에 앞서 다저스의 팀 동료들과 함께 모자를 벗고 세월호 침몰 피해자들을 위해 묵념했다 다저스 구단은 이날 세계적인 재난 사고가 된 세월호 침몰 사고의 피해자들을 위해 공식적인 묵념 시간을 마련했다 필라델피아 필리스와의 경기 시작에 앞서 열린 추모행사는 대형전광판을 통해 세월호 추모영상이 나오는 것으로 시작됐다 영상에서는 지난 일 류현진이 다저스타디움에서 세월호 생존자 및 희생자 가족을 위한 자선사인회를 가진 장면이 나왔고 마지막에는 진도 팽목항 방파제에 앉아 멀리서 야간에 진행되는 실종자 구조작업을 지켜보는 가족의 뒷모습도 방영됐다 사회자는 세월호 침몰 사고에 대해 간단히 소개한 뒤 희생자의 명복을 빌기 위한 묵념을 제안했다 이에 국가 연주를 위해 일어섰던 모든 선수와 관중이 묵념했고 류현진도 모자를 벗어 가슴에 안고 경건하게 세월호 피해자들의 안위를 빌었다 다저스 구장은 일순간 깊은 침묵에 쌓였다 다저스의 전설 빈 스컬리도 이번 추모행사에서 세월호 희생자들 명복을 비는 추모의 말을 전했다 세월호 사고 직후인 지난 일 클럽하우스 자신의 자리에   라는 문구를 달아 실종자들의 무사 귀환을 빌었던 류현진은 세월호 구조작업 등을 위해 성금 억원을 기부하겠다는 의사를 밝힌 바 있다 
2, 세월호 침몰 참사 희생자를 위한 임시 분향소에 차인표와 신애라 부부가 방문했다 일 경기도 안산시 단원구 고잔동에 위치한 안산 올림픽 기념체육관에는 세월호 침몰로 인한 희생자를 위한 임시 합동분향소가 마련된 가운데 차인표와 신애라 부부가 직접 방문했다 차인표 신애라 부부는 검은 옷을 입고 합동분향소를 찾아 희생자들을 조문했다 신애라는 조문을 마친 뒤 사고 소식을 접하고 희생하신 분들을 위로하려고 빈소를 찾았다고 전했다 세월호 침몰 차인표 신애라 부부 소식에 누리꾼들은 세월호 침몰 차인표 신애라 부부도 좋은 일 정말 많이하는 부부인 것 같네요 세월호 침몰 정말 비통해요 세월호 침몰 제발 기적이 있길 등의 반응을 보였다 
3, 세월호 침몰 희생자를 위한 임시 합동분향소에 차인표 신애라 조문을 다녀갔다 일 경기도 안산시 단원구 고잔동에 위치한 안산 올림픽 기념체육관에는 세월호 침몰로 인한 희생자를 위한 임시 합동분향소가 마련됐다 이날 임시 합동분향소의 조문객 가운데는 차인표 신애라 부부도 있었다 차인표 신애라 부부는 검은 옷을 입고 임시 합동분향소를 찾아 세월호 침몰 참사의 희생자들을 조문했다 신애라는 조문을 마친 뒤 사고 소식을 접하고 희생하신 분들을 위로하려고 빈소를 찾았다고 전했다 세월호 침몰 차인표 신애라 조문 소식에 누리꾼들은 세월호 침몰 차인표 신애라 조문 진짜 좋은 일 많이 하는 듯 세월호 침몰 임시 합동분향소 저도 가봐야겠어요 차인표 신애라 조문 세월호 침몰 희생자들 가족이 조금이나마 위로됐길 등의 반응을 보였다 
4, 세월호 희생자를 위한 임시 합동분향소에 차인표 신애라 조문했다 일 경기도 안산시 단원구 고잔동에 위치한 안산 올림픽 기념체육관에는 세월호 침몰로 인한 희생자를 위한 임시 합동분향소가 마련된 가운데 차인표 신애라 부부 역시 조문을 다녀갔다 이날 차인표 신애라 부부는 검은 옷을 입고 임시 합동분향소를 찾아 세월호 침몰 참사의 희생자들을 조문하는 모습을 보였다 신애라는 조문을 마친 뒤 사고 소식을 접하고 희생하신 분들을 위로하려고 빈소를 찾았다고 전하며 저희의 발길이 유족에게 조금이라도 위로가 되길 바란다고 말했다 세월호 침몰 차인표 신애라 조문 소식에 누리꾼들은 세월호 침몰 차인표 신애라 조문 진짜 좋은 일 많이 하는 듯 세월호 침몰 임시 합동분향소 저도 가봐야겠어요 차인표 신애라 조문 세월호 침몰 희생자들 가족이 조금이나마 위로됐길 등의 반응을 보였다 
5, 세월호 침몰 참사에 지만원 발언이 크게 논란이 된 가운데 그의 과거 발언이 눈길을 끈다 지난 일 보수논객 지만원 씨는 자신이 운영하는 온라인 사이트에 박근혜 정신 바짜 차려야라는 제목으로 장문의 글을 게재했다 글 속에서 지만원은 세월호 침몰 사고를 제 의  반란이라 칭하며 시체장사에 한두번 당해봤는가 세월호 참사는 이를 위한 거대한 불쏘시개다라며 논란의 발언을 했다 이에 과거 지만원 발언이 화제다 지난 년 지만원은 문근영의 기부 소식이 알려지자 좌익세력의 영웅 만들기라고 그를 비하하며 문근영이 빨치산 손녀 밑에서 자랐다고 하며 문근영은 빨치산의 선전용이라는 내용의 글을 게재해 논란이 된 바 있다 또한 그는 신윤복을 영화와 드라마와 언론이 갑자기 띄워 신윤복 신드롬을 만드는 이유를 파악해달라며 이상한 여배우들이 주연으로 출연하고 있다고 바람의 화원 여주인공 문근영과 영화 미인도의 김규리前 김민선를 비난하기도 했다 세월호 침몰 지만원 발언에 누리꾼들은 세월호 침몰 지만원 발언 저런 사람이야말로 진짜 빨갱이같다 세월호 침몰 지만원 발언 이 사람이 그 사람이야 세월호 침몰 지만원 발언 시체장사라는 말 보고 충격받았다 정말 등의 반응을 보였다 
6, 세월호 침몰에 노란리본 캠페인이 확산되고 있는 가운데 심은진 직접 그린 노란리본으로 캠페인에 동참했다 지난 일 배우 심은진은 자신의 트위터에 여기저기보니 노란리본 그림에도 저작권 어쩌고 하는 걸 보게되었어요 그래서 그냥 제가 그렸어요 이 그림은 마음껏 가져다 쓰셔도 됩니다 어차피 마음은 다 하나가 아니겠습니까라는 글과 함께 심은진 직접 그린 노란리본 그림을 게재했다 그림에는 검은색 바탕에 노란색 리본이 그려져 있고 기다리고 있을게라는 간절한 문구가 적혀있다 앞서 심은진은 지난 일에도 기사를 좀전에 보고 알았어요 모두 무사구조되길 바랍니다 지금까지 사망자 명이라고 나오는데 안타깝네요 고인의 명복을 빕니다라는 글을 남긴 것에 이어 일 여기저기 살아있는 사람들의 문자 내용이나 증거들이 보여지는데 이게 정말 사실이라면 빨리 구조됐으면 하는 바람입니다 구조하시는 분들도 힘들겠지만 포기하지 말아주세요라는 글로 간절한 마음을 전했다 이어 지난 일에도 점점 할말이 없어진다 그래도 제발이라는 말밖에라는 글로 끊임없이 세월호 침몰 참사에 대해 애도를 전해 눈길을 끌었다 세월호 침몰 심은진 직접 그린 노란리본에 누리꾼들은 세월호 침몰 심은진 직접 그린 노란리본 감동적이다 세월호 침몰 심은진 직접 그린 노란리본 저작권 있다는 말 진짜에요 세월호 침몰 심은진 직접 그린 노란리본 의미가 깊네요 등의 반응을 보였다 
7, 세월호 침몰 참사에 심은진 직접 그린 노란리본으로 캠페인에 동참했다 지난 일 심은진은 자신의 트위터에 여기저기보니 노란리본 그림에도 저작권 어쩌고 하는 걸 보게되었어요 그래서 그냥 제가 그렸어요 이 그림은 마음껏 가져다 쓰셔도 됩니다 어차피 마음은 다 하나가 아니겠습니까라는 글과 함께 하나의 사진을 게재했다 공개된 사진은 심은진 직접 그린 노란리본 모습 검은색 바탕에 노란색 리본이 그려져 있고 기다리고 있을게라는 간절한 문구가 눈에 띈다 심은지은 앞서 지난 일에도 기사를 좀전에 보고 알았어요 모두 무사구조되길 바랍니다 지금까지 사망자 명이라고 나오는데 안타깝네요 고인의 명복을 빕니다라는 글을 남긴 것에 이어 일 여기저기 살아있는 사람들의 문자 내용이나 증거들이 보여지는데 이게 정말 사실이라면 빨리 구조됐으면 하는 바람입니다 구조하시는 분들도 힘들겠지만 포기하지 말아주세요라는 글을 남겼다 지난 일에도 점점 할말이 없어진다 그래도 제발이라는 말밖에라는 글로 끊임없이 세월호 침몰 참사에 대해 애도를 전했다 세월호 침몰 심은진 직접 그린 노란리본에 누리꾼들은 세월호 침몰 심은진 직접 그린 노란리본 감동적이다 세월호 침몰 심은진 직접 그린 노란리본 저작권 있다는 말 진짜에요 세월호 침몰 심은진 직접 그린 노란리본 의미가 깊네요 등의 반응을 보였다 
8, 세월호 침몰 실종자의 무사귀환을 바라는 노란리본달기 캠페인이 화제다 지난 일 대학생 연합 동아리 는 세월호 침몰 사고 실종자들의 무사귀환을 바라는 의미로 하나의 작은 움직임이 큰 기적을이라는 뜻을 담은 노란리본달기 캠페인을 시작한 가운데 심은진과 박은지 역시 노란리본달기 캠페인에 동참했다 심은진은 지난 일 자신의 트위터에 여기저기 보니 노란리본 그림에도 저작권 어쩌고 하는걸 보게됐어요 그래서 그냥 제가 그렸어요 이 그림은 마음껏 가져다 쓰셔도 됩니다 어차피 마음은 다 하나가 아니겠습니까라는 글과 함께 기다리고 있을게라는 글귀가 적힌 직접 그린 노란리본 사진을 게재했다 일 방송인 박은지 역시 자신의 트위터에 기적이 일어나길 진심으로 기도합니다라는 글과 함께 하나의 움직임이 큰 기적을이라는 글귀가 적힌 노란리본 사진을 게재해 노란리본달기 캠페인에 동참했다 세월호 침몰 노란리본달기 캠페인 참여 모습을 본 누리꾼들은 세월호 침몰 노란리본달기 캠페인 제발 기적처럼 돌아오길 세월호 침몰 노란리본달기 캠페인해서 기적이 일어났으면 좋겠어요 세월호 침몰 노란리본달기 캠페인에 더 많은 사람들이 동참하길 바랍니다 등의 반응을 보였다 한편 노란리본달기 캠페인을 시작한 측은 저작권 논란에 대해 공식 블로그를 통해 이 포스터는 모든 분들이 동참해주길 바라며 만들었다 저작권은 저희에게 있지만 저작권료는 절대 없다는 글로 루머를 일축했다 
9, 세월호 침몰에 많은 스타들이 노란리본달기 캠페인에 참여한 가운데 노란리본 의미가 화제다 지난 일 대학생 연합 동아리 는 세월호 침몰 사고 실종자들의 무사귀환을 바라는 의미로 하나의 작은 움직임이 큰 기적을이라는 글귀가 적힌 노란리본달기 캠페인을 제안했다 이러한 노란리본달기 캠페인이 등을 통해 확산되며 많은 스타들 역시 동참하고 있는 모습이다 지난 일 김소현은 자신의 트위터에 간절한 마음이 모여 큰 기적이 일어나길 바랍니다라는 글과 함께 트위터 프로필 사진을 노란리본 사진으로 변경했다 제국의아이들 임시완과 김재중 역시 트위터 프로필 사진을 노란리본으로 변경하며 노란리본달기 캠페인에 동참하는 모습을 보였다 또한 직접 노란리본달기 캠페인의 그림을 그린 스타도 있다 지난 일 심은진은 자신의 트위터에 여기저기보니 노란리본 그림에도 저작권 어쩌고 하는 걸 보게되었어요 그래서 그냥 제가 그렸어요 이 그림은 마음껏 가져다 쓰셔도 됩니다 어차피 마음은 다 하나가 아니겠습니까라는 글과 함께 검은색 바탕에 노란색 리본이 그려져 있는 사진을 게재했다 배우 김규리는 일 자신의 트위터에 미안해아이들아라는 글과 함께 노란리본이 무수히 매달린 나무의 이미지를 게재해 눈길을 끌었다 또한 지드래곤 역시 같은날 자신의 트위터에 별다른 글을 게재하지 않고 노란리본이 담긴 하나의 사진을 게재해 눈길을 끌었다 세월호 침몰 노란리본달기 캠페인에 누리꾼들은 세월호 침몰 노란리본달기 캠페인 기적이 일어나길 세월호 침몰 노란리본달기 캠페인 정말 하나의 작은 움직임이 큰 기적을 부르길 간절하게 바랍니다 노란리본달기 캠페인 노란리본 의미에 저런 뜻이 노란리본 의미 뜻깊네요 세월호 침몰 노란리본 의미 제발 돌아와 등의 반응을 보였다 한편 노란리본 의미는 다시 돌아오기만을 기다린다는 것으로 제 차 세계대전 당시 미국 병사들의 조속한 무사귀환을 바라는 뜻이로 노란리본을 나무에 묶어 놓고 기다린 데서 유래된 것으로 전해졌다 
10, 세월호 침몰 참사 실종자의 무사귀환을 바라는 노란리본 캠페인에 지드래곤 역시 참여했다 일 그룹 빅뱅의 지드래곤은 자신의 트위터에 별다른 글 없이 한 장의 사진을 게재했다 공개된 사진은 검정 바탕에 노란리본 모습 이는 현재 등으로 확산되고 있는 노란리본 캠페인에 참여한 모습이다 지드래곤은 지난 일에도 자신의 트위터에 한국을 위해 기도해달라라는 글과 함께 십자가 모양의 사진을 게재하기도 했다 지드래곤 외에도 김재중 배우 김규리 김소현 남규리 방송인 박은지 등 수많은 스타들이 노란리본으로 프로필 사진을 변경하거나 노란리본 사진을 게재하는 등 캠페인에 참여하고 있어 눈길을 끈다 세월호 침몰 노란리본 캠페인에 누리꾼들은 세월호 침몰 노란리본 캠페인 제발 돌아와줘 세월호 침몰 노란리본 캠페인 정말 간절히 바랍니다 세월호 침몰 노란리본 캠페인 하나의 작은 움직임이 큰 기적을 만들길 등의 반응을 보였다 
